bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,a1bb6f2dcb82eb9f880f87c480d6086a8e0bee34,88f44d87d4c2251d7cf55d9aa9c3452a397ae19b,223,https://github.com/FasterXML/jackson-databind/issues/223
2,01797b0794ac384f5f5ef49cc0cfab8347ae7930,9c5fec2302237ede0e797c13c0663a6bb52c798c,467,https://github.com/FasterXML/jackson-databind/issues/467
3,fd9b65dc45657bb7cd236df5396b901f36469c76,fa1d99255915f21c868f28307fd6e3adb2029ea0,479,https://github.com/FasterXML/jackson-databind/issues/479
4,4d532801d3d552c7522888efb61e42f0fa167715,9e080e298d8c0cfd7d77a56eb93d85a5da322555,506,https://github.com/FasterXML/jackson-databind/issues/506
5,64a27bc8e5fd38a48c0c70eddf864542f7198acb,fd0f1fefdc19593a040b3dce857715d613cb6458,515,https://github.com/FasterXML/jackson-databind/issues/515
6,a4849c115f097ad8304b385a279871a4d44a9f16,5e799a2e2265cbb6a056b37b50f82cc1eebf1d45,570,https://github.com/FasterXML/jackson-databind/issues/570
7,7471116f2457073ccb895a0eb452591b71c043e4,bcccd3e82241db25a2f34ed655dab88395089f39,592,https://github.com/FasterXML/jackson-databind/issues/592
8,a399c540e540ac616fd3c19a8e46ce065ef71f8c,3b041e3bad5968ade7f7519daeef6695a8f6b7f9,667,https://github.com/FasterXML/jackson-databind/issues/667
9,ae101c63bc8c74466fc137b766faa8793c1e1f10,00bb11edc3581f42e1f3c78a047538c8ea9eb0d9,682,https://github.com/FasterXML/jackson-databind/issues/682
10,6262dd76625e16d10ee45bc90ae76b02101cd65a,466f706901d39ae95393c6c7b1d0b544247922f1,705,https://github.com/FasterXML/jackson-databind/issues/705
11,66e8ac6372bc670d98e9dc74f06ef6faef97032c,66bfe6658e6c25e03d1bcd5d4d858e1aaf738a01,609,https://github.com/FasterXML/jackson-databind/issues/609
12,36d9b59eb1b74442abeea856dca61ebe8bc7b3a5,1d57c20dfd79c64837cf1ec357ab402f2158227e,735,https://github.com/FasterXML/jackson-databind/issues/735
13,50ea0838d9251240e8dd814c682059ef85b4d0cc,59af571c64a169eccd670337f097ff4be44a2262,742,https://github.com/FasterXML/jackson-databind/issues/742
14,0ec81c07bc4be13e1382f7191981ed3f0bf9ef39,817a45a07040297a5db45dd04e79b010146b7e0d,744,https://github.com/FasterXML/jackson-databind/issues/744
15,fa1c2ff7eefd68061ae0cc3f630e87d16d1b2bb5,119ddc9701c94ac184362166742ceaa7437eec8f,731,https://github.com/FasterXML/jackson-databind/issues/731
16,6dcb13f70fb1c68b0c055bfb1dae2b296ae67b03,db612bb3839581d0a88297667880cad548c018b1,771,https://github.com/FasterXML/jackson-databind/issues/771
17,7db1f44069bbcac9d884d829f8052a89b5ec271b,a143c05db7a911f98f8bf59beb13cfcb7689395d,793,https://github.com/FasterXML/jackson-databind/issues/793
18,de1376e85e247f7e4b185183b6433721dec172bc,2abf5a321405a82ed4e0d3a7c876c82bb05188f9,734,https://github.com/FasterXML/jackson-databind/issues/734
19,1a24cc1755d787a576c32157a38e441cfe839964,354e1390bc397ef048ffd5d905b0709a3a2585ef,810,https://github.com/FasterXML/jackson-databind/issues/810
20,ea2c9a46bf2a98eb2f1af04fad65016f4648a8de,6456a9ac0bee09e2ae45ae56739102a8071f217a,815,https://github.com/FasterXML/jackson-databind/issues/815
21,44dea1f292933192ea5287d9b3e14a7daaef3c0f,707db7a972e2d088647450f9a890c438fb735933,677,https://github.com/FasterXML/jackson-databind/issues/677
22,80c1bbb7f93b6ec3c79c4ae3f72dbeec5dff62fc,a92e2be0ccbe6732e1fef39bf48b0f9dcc559fd6,848,https://github.com/FasterXML/jackson-databind/issues/848
23,19b897cc8ed0c48995f1aff18ceb32fa8af81c6f,6172d7561007a941b01f960dd44d94a92f3ad763,849,https://github.com/FasterXML/jackson-databind/issues/849
24,6c617384110d2ea10b1bc5543f747c177df6dc8f,b4ef0a65150a7311ebb9119b1ac6898e33dc0baf,889,https://github.com/FasterXML/jackson-databind/issues/889
25,b4ef0a65150a7311ebb9119b1ac6898e33dc0baf,9917c94d94a285ece80e6c9f3d2b9fba06d98fd7,890,https://github.com/FasterXML/jackson-databind/issues/890
