bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,728b4e814ec88cab556533fa114be0efdde963be,004124ac5dbf5edbf925078652526267468821e7,COMPRESS-28,https://issues.apache.org/jira/browse/COMPRESS-28
2,1cde8827c953a56b2fcabad676f8cf2ddd6ec182,d09177b98f4e956c1d366110f73c3341ea110bee,COMPRESS-11,https://issues.apache.org/jira/browse/COMPRESS-11
3,ddbd61f0e75b7d98873b9a9bf6398218edcfd17b,d170f34fa65e19b604f5a9e04e6ed5f81d35658c,COMPRESS-64,https://issues.apache.org/jira/browse/COMPRESS-64
4,d170f34fa65e19b604f5a9e04e6ed5f81d35658c,6273f3a6b804aa845747c8859d659373b14199e1,COMPRESS-64,https://issues.apache.org/jira/browse/COMPRESS-64
5,c520d00b707fe6ecf4f3d7d062af09ffea6812e8,dc3fc4703211876fb38cccf55adc92ee5cbc28d0,COMPRESS-87,https://issues.apache.org/jira/browse/COMPRESS-87
6,41aa509d836dcdd316a40e68680cc54e0f6c1e04,5066e9aeb98f386b29a31cd4acb97aa43844cd30,COMPRESS-94,https://issues.apache.org/jira/browse/COMPRESS-94
7,2419bb55d2683142443626482c85d6086ae3bf72,2d858d5c7cc30313c9c3c8ef4a5e8d34d67a395e,COMPRESS-114,https://issues.apache.org/jira/browse/COMPRESS-114
8,d7398f46ccd552eb315d94bf652cc264ea21799a,35e4e4fb6848ddfa3878270523f3f9336ae7f9b8,COMPRESS-113,https://issues.apache.org/jira/browse/COMPRESS-113
9,ec0db741b7e53d6fbe3887f8720f76a625d2277f,fdac1475918e93444b08a024d096b4ec39d6733d,COMPRESS-160,https://issues.apache.org/jira/browse/COMPRESS-160
10,8cece7223349341d5ab44234d1f62897cb849511,347660646cfad588481c13058842d49fa3779f84,COMPRESS-164,https://issues.apache.org/jira/browse/COMPRESS-164
